Designator,Footprint,Quantity,Value,LCSC Part #
Brd1,128x64OLED,1,SSD1306,
"FB1, FB2",FerriteBeads_1608M,2,FerriteBead_Small,C531293
J1,Jack_3.5mm_Switronic_ST-005-G_horizontal,1,TRS,
R1,0603,1,33,C23140
R2,0603,1,10,C22859
"SWL1, SWL2, SWL3, SWL4, SWL5, SWL6, SWR1, SWR2, SWR3, SWR4, SWR5, SWR6, SWSEL1, SWSTART1",CherryMX_Hotswap,14,SW_PUSH,
"SWMODE1, SWRAPID1, SWSPEED1",SW_PUSH_6mm,3,SW_PUSH,
U1,RPi_Pico_SMD_TH,1,Pico,
U2,SOT-23-5_HandSoldering,1,74AHC1G125,
UART1,WJ15EDGRC-2.54-03P-140-00A,1,~,
