Designator,Mid X,Mid Y,Rotation,Layer
Brd1,148.925,-95.17,0.0,top
J1,181.955,-35.56,270.0,top
MODE,104.625,-33.6,0.0,top
R1,181.595,-45.99,0.0,top
R2,172.72,-40.87,0.0,top
RAPID,114.785,-33.6,0.0,top
SPEED,124.945,-33.6,0.0,top
SWL1,111.252,-106.299,335.0,top
SWL2,98.425,-64.77,345.0,top
SWL3,82.804,-48.768,345.0,top
SWL4,63.165097,-47.669801,345.0,top
SWL5,42.210097,-51.263199,345.0,top
SWL6,77.804903,-67.354801,345.0,top
SWR1,187.230044,-106.299,25.0,top
SWR2,200.025,-64.77,15.0,top
SWR3,215.646,-48.768,15.0,top
SWR4,235.331,-47.752,15.0,top
SWR5,256.239903,-51.263199,15.0,top
SWR6,220.645097,-67.3548,15.0,top
SWSEL1,124.081,-72.332,0.0,top
SWSTART1,174.244,-72.332,0.0,top
U1,149.225,-53.975,0.0,top
UART1,169.545,-37.735,0.0,top
